user_id,item_id,rating,timestamp,gender,gender_binary,age,occupation
280,539,2,877008653,M,1,40,administrator
113,963,1,879983775,M,1,20,scientist
425,258,5,889859449,F,1,32,administrator
837,225,2,893284095,M,1,52,programmer
439,750,4,890187535,M,1,39,student
75,880,5,878669226,M,1,23,student
753,367,3,891906004,M,0,41,programmer
440,281,4,879781581,M,1,48,marketing
348,203,1,880198854,F,0,53,other
513,463,4,876387042,M,1,45,engineer
921,502,3,886748738,M,1,27,none
870,950,1,880867483,F,0,11,librarian
244,606,1,880824598,M,1,31,entertainment
510,489,4,884156219,M,1,36,programmer
468,127,5,881243905,M,0,21,educator
767,292,3,880355586,M,1,22,other
279,748,1,875781756,M,1,21,student
118,684,4,876342776,M,1,29,student
216,768,5,880633566,M,1,44,technician
857,146,1,875976153,M,1,31,none
814,154,4,893164684,M,1,22,student
53,176,1,877558389,M,1,21,executive
305,656,3,886358465,M,1,30,librarian
857,207,4,887122033,F,0,25,healthcare
13,205,4,881234017,M,1,55,student
882,760,4,886388297,M,1,47,programmer
743,365,5,880065523,M,0,24,healthcare
380,9,4,892148655,M,1,27,student
182,565,5,886285194,M,1,46,technician
125,418,4,888710658,M,1,43,student
55,408,3,880603907,F,0,49,other
882,344,1,876865238,M,1,19,student
370,1265,4,875901027,M,1,39,educator
279,518,4,888962648,M,1,17,administrator
406,258,5,889695266,M,1,24,artist
683,566,3,881532563,M,1,21,student
496,71,2,878625641,M,1,38,librarian
412,969,3,876612628,M,1,41,administrator
836,60,4,889245169,M,1,27,student
303,77,5,881520377,M,1,26,librarian
149,468,2,886300814,M,1,27,programmer
277,1119,5,886370357,M,0,40,administrator
565,249,5,889421097,F,0,29,healthcare
535,912,4,890155639,M,1,29,other
450,239,3,877399315,M,1,24,engineer
141,865,5,876273743,M,1,35,librarian
257,670,4,885433519,M,1,31,educator
642,111,5,887793942,M,1,48,engineer
20,1084,4,891538198,F,1,22,educator
655,535,5,885347341,F,0,36,other
62,625,4,876749532,M,1,20,programmer
209,322,4,879592887,F,0,31,educator
780,654,5,876500030,F,0,41,technician
611,416,5,884600718,F,0,48,administrator
712,989,2,885259230,F,0,26,librarian
685,769,5,890244164,F,0,54,writer
550,515,2,879752077,M,1,42,healthcare
387,172,4,881981934,M,1,21,student
3,685,4,888735182,F,1,21,administrator
210,497,2,877456539,M,1,50,student
275,908,4,890695459,M,1,20,programmer
829,53,4,892243409,M,1,24,programmer
783,71,5,893174856,F,0,46,administrator
244,405,5,880780129,F,0,24,healthcare
823,566,4,877005521,M,1,19,engineer
918,1220,4,880877870,M,1,20,programmer
802,141,3,876852987,M,1,23,marketing
171,1313,3,889573257,F,0,55,student
819,1114,1,884420011,F,1,17,doctor
339,1074,4,880658924,M,1,44,administrator
834,100,4,877155649,M,1,21,executive
356,343,3,879063291,M,1,23,none
416,1054,4,879384446,M,0,25,writer
615,968,4,875231488,M,1,20,technician
889,1471,3,882849900,F,0,29,healthcare
404,479,5,885708376,M,1,50,educator
217,732,4,882892581,M,0,27,writer
171,648,4,883109418,M,1,29,other
137,1590,4,884000322,M,1,27,student
844,1210,4,889383945,M,1,30,artist
826,754,2,892258899,M,1,31,educator
460,261,2,876443225,F,0,23,healthcare
38,291,5,875712115,M,1,22,writer
771,158,5,881650886,M,1,22,lawyer
542,100,2,877395667,M,0,28,writer
688,474,4,883396016,M,1,26,student
934,13,3,876821451,M,1,23,engineer
617,417,5,889691477,M,1,23,salesman
615,52,5,880239676,M,1,23,technician
276,180,2,892492690,M,1,24,educator
828,210,3,888565231,M,1,37,student
774,1119,4,885183977,M,1,23,other
381,952,3,886551241,M,1,31,student
577,1025,2,884385705,F,0,46,other
731,856,5,876475974,F,0,28,student
276,272,5,876970097,F,0,19,healthcare
308,258,4,884209152,M,1,19,programmer
606,880,5,890056756,M,1,43,educator
161,126,1,879849089,M,1,24,executive
478,1059,4,876132799,M,1,28,programmer
722,911,2,886379183,F,0,19,healthcare
35,227,4,880657753,M,1,42,educator
666,241,5,884472339,M,1,36,scientist
562,999,5,887182070,F,0,49,other
569,921,5,877337986,F,1,24,artist
653,1,4,886320162,M,1,20,programmer
864,88,3,884444845,M,1,20,programmer
804,235,1,882867919,M,1,43,student
848,218,5,892564351,M,1,46,engineer
269,469,4,892272208,M,1,50,lawyer
546,629,2,892165905,F,0,43,healthcare
549,419,2,884853787,M,1,23,homemaker
632,328,4,886044052,M,1,47,artist
340,570,4,884594888,M,1,17,other
815,313,5,884909669,M,1,23,lawyer
161,686,3,892975142,M,1,25,administrator
216,1375,3,890057046,F,0,36,educator
791,755,5,884626695,F,0,51,writer
588,117,4,881251618,M,1,21,programmer
593,1120,4,877275671,M,1,22,engineer
607,892,4,878854246,M,1,24,student
59,568,3,889197071,M,1,44,programmer
864,174,1,886393399,M,1,22,other
84,480,3,880145193,M,1,22,programmer
424,768,3,880396965,F,0,49,entertainment
674,50,4,876611001,M,1,36,student
412,1394,3,878717882,F,0,22,administrator
826,147,3,880953170,M,1,49,programmer
936,1226,4,893080630,F,0,50,writer
588,128,3,878094452,M,1,23,executive
85,273,5,875039977,M,1,43,administrator
810,1044,1,891452492,F,0,40,student
504,755,4,875664371,M,1,43,programmer
649,1550,5,876487755,F,0,24,other
435,1438,4,879165482,F,0,45,entertainment
516,201,4,889845702,F,0,50,healthcare
187,885,2,876741639,M,1,25,student
425,245,3,890508940,F,0,53,healthcare
234,615,4,880945621,M,0,26,other
611,100,4,891759972,F,0,43,administrator
624,887,4,890369080,M,1,24,librarian
786,747,1,880074516,F,0,50,educator
41,827,3,879667157,M,1,30,student
431,705,3,876733750,M,1,42,writer
930,117,4,883077902,M,1,22,student
495,436,5,881045922,M,1,19,none
872,332,2,880572829,M,1,38,salesman
91,258,2,880888227,M,1,21,entertainment
578,448,4,892524375,M,1,24,other
162,433,4,881701238,M,1,49,lawyer
