user_id,item_id,rating,timestamp,gender,gender_binary,age,occupation
732,303,4,888856344,M,1,40,none
18,110,2,875875467,M,1,22,artist
19,86,2,876050246,M,1,40,healthcare
198,132,2,883693566,M,1,23,salesman
23,89,2,875515600,M,1,41,executive
406,88,4,889539339,M,1,24,retired
382,128,4,875619749,M,0,39,administrator
432,91,2,879190321,M,0,38,administrator
431,99,3,875597538,M,1,23,administrator
257,105,4,875984507,M,1,23,artist
763,110,2,875798155,M,1,40,librarian
441,116,1,883775511,M,1,38,administrator
261,82,4,883265722,M,1,38,scientist
264,120,5,883341387,M,0,38,salesman
412,397,4,879429855,M,1,39,artist
221,105,4,883355885,M,1,24,scientist
278,92,5,875816463,M,1,39,retired
246,106,4,876075155,M,1,37,administrator
241,78,3,875954539,M,0,39,retired
462,105,2,889152719,M,1,23,none
251,761,4,879308678,M,1,41,healthcare
789,118,4,883553874,M,0,23,administrator
526,614,4,875384825,M,0,38,retired
229,342,4,883486894,M,1,22,scientist
771,108,2,889294407,M,0,40,librarian
34,101,2,889210283,M,1,41,retired
433,81,4,875756949,M,1,23,homemaker
457,99,5,888947292,M,1,40,salesman
9,696,4,875628925,M,1,40,salesman
745,373,2,889558758,M,1,22,administrator
272,630,3,889444365,M,1,40,entertainment
502,107,2,883427073,M,0,39,none
52,380,4,879241182,M,1,22,retired
42,99,4,875824538,M,0,39,programmer
455,112,4,878969344,M,1,40,scientist
504,496,2,883407705,M,1,39,programmer
448,102,4,875984774,M,0,38,healthcare
770,680,1,875795245,M,0,39,scientist
8,100,5,883330944,M,1,23,retired
8,81,5,879511226,M,0,39,administrator
442,91,5,875722243,M,1,40,programmer
794,90,4,875955870,M,1,40,none
466,503,3,889585629,M,1,22,scientist
217,650,4,889201542,M,0,40,salesman
778,81,4,883638236,M,1,39,retired
12,78,4,875704976,M,1,39,programmer
478,90,2,875665076,M,0,23,administrator
775,100,5,875443949,M,1,40,scientist
22,90,2,883777488,M,0,23,scientist
463,79,4,883554269,M,0,38,salesman
464,90,4,875892406,M,0,23,administrator
204,117,2,883713037,M,1,39,administrator
483,90,4,875569430,M,0,39,administrator
480,69,3,875723534,M,1,38,scientist
435,70,4,875780039,M,0,23,healthcare
463,82,4,879495292,M,0,40,administrator
478,102,1,889470640,M,0,39,programmer
482,85,4,883787735,M,0,22,scientist
513,430,1,875879556,M,0,40,administrator
219,84,4,889332578,M,0,39,scientist
467,591,3,875637909,M,0,40,administrator
274,133,2,883327685,M,0,24,scientist
429,84,4,879324457,M,1,40,homemaker
748,68,2,883421455,M,1,40,librarian
250,105,4,875779901,M,0,40,administrator
246,141,2,875890045,M,0,24,executive
272,110,2,883682704,M,0,39,administrator
228,371,3,883572996,M,1,39,administrator
223,338,2,883482614,M,1,24,retired
445,73,4,889501584,M,1,40,programmer
10,89,1,889365712,M,1,23,executive
214,697,4,889193614,M,0,39,lawyer
445,79,4,888988899,M,0,22,administrator
244,83,3,879268415,M,0,39,administrator
228,87,1,883161711,M,1,39,administrator
247,100,2,883412466,M,1,38,retired
467,332,4,879214071,M,1,39,salesman
245,88,2,876025642,M,1,41,healthcare
198,143,5,889440462,M,1,40,salesman
225,91,1,888753352,M,0,41,salesman
744,120,3,879399222,M,0,39,scientist
212,387,2,889268694,M,0,22,administrator
455,69,5,883474374,M,1,41,salesman
214,115,2,889600807,M,1,23,none
239,415,2,875532412,M,0,22,retired
780,378,5,879427323,M,0,40,lawyer
476,106,2,889338472,M,1,41,scientist
232,133,2,888799721,M,1,22,scientist
493,670,3,875770557,M,0,23,scientist
442,127,4,876060626,M,1,23,marketing
459,108,2,875619167,M,0,22,administrator
242,64,2,883537835,M,1,23,programmer
768,105,5,875866741,M,1,39,administrator
27,593,4,883778762,M,1,38,scientist
243,70,3,876041485,M,1,22,administrator
233,101,4,875610498,M,0,24,none
266,144,4,883761499,M,1,24,administrator
248,60,4,883300065,M,0,24,scientist
760,113,4,876036102,M,0,23,healthcare
433,103,2,883534991,M,0,22,none
468,728,3,875704228,M,1,39,retired
753,734,5,875957724,M,0,40,retired
181,128,4,888561162,M,0,40,healthcare
769,378,2,883126739,M,1,39,scientist
241,300,4,875303517,M,0,39,salesman
760,87,2,879647377,M,1,41,scientist
781,137,2,875889557,M,1,40,scientist
452,697,4,875682091,M,1,40,none
166,101,2,883572364,M,1,41,marketing
742,144,4,875531288,M,1,40,retired
248,97,4,879449838,M,1,40,librarian
258,83,4,875414336,M,0,40,entertainment
243,312,2,889396939,M,0,23,administrator
213,612,4,883737277,M,1,22,librarian
496,80,4,875806183,M,1,39,administrator
1,104,4,875637424,M,0,23,healthcare
257,342,3,883440606,M,1,41,programmer
264,95,2,889263315,M,1,38,none
760,132,4,888974743,M,1,40,scientist
455,587,1,889004483,M,0,41,administrator
456,115,3,875488678,M,1,40,administrator
46,395,4,875772953,M,0,40,retired
241,68,4,875988788,M,0,23,salesman
460,89,2,888836177,M,0,39,administrator
443,119,2,875970254,M,1,41,scientist
744,132,4,889450884,M,1,23,scientist
507,96,2,875984499,M,1,23,retired
223,688,4,888676832,M,0,41,administrator
468,371,4,879393193,M,1,23,executive
480,117,3,875777053,M,1,39,healthcare
226,61,4,889572518,M,1,39,retired
422,433,4,875682896,M,1,39,executive
8,677,2,889426091,M,0,40,programmer
243,102,2,883480785,M,0,39,administrator
429,52,2,883013595,M,1,40,healthcare
753,73,5,889019907,M,1,41,programmer
1,124,2,883403145,M,0,24,artist
181,358,2,875996042,M,1,23,lawyer
259,113,2,879476586,M,1,40,salesman
1,138,4,879420000,M,0,41,retired
747,138,1,888677616,M,1,38,administrator
226,521,2,875492250,M,0,23,administrator
