user_id,item_id,rating,timestamp,gender,gender_binary,age,occupation
553.0,523.0,4.0,879455023.0,M,1.0,30.0,educator
143.0,876.0,4.0,888066611.0,M,1.0,46.0,educator
689.0,721.0,3.0,879867568.0,M,1.0,32.0,administrator
545.0,604.0,4.0,879867568.0,M,1.0,31.0,programmer
492.0,762.0,3.0,885807510.0,M,1.0,22.0,engineer
585.0,7.0,3.0,884067059.0,M,1.0,20.0,student
919.0,595.0,4.0,880242447.0,M,1.0,21.0,student
326.0,488.0,5.0,879435758.0,F,0.0,44.0,educator
585.0,545.0,5.0,891224864.0,M,1.0,26.0,programmer
388.0,483.0,5.0,886484384.0,M,1.0,31.0,entertainment
680.0,815.0,1.0,888179763.0,M,1.0,23.0,programmer
273.0,694.0,5.0,875272573.0,M,1.0,31.0,programmer
329.0,622.0,4.0,891696895.0,M,1.0,43.0,librarian
296.0,522.0,4.0,879442962.0,M,1.0,18.0,student
296.0,639.0,4.0,885047281.0,M,1.0,23.0,student
280.0,985.0,3.0,891541130.0,F,0.0,30.0,librarian
883.0,1007.0,3.0,891699599.0,M,1.0,43.0,librarian
234.0,639.0,4.0,884494693.0,M,1.0,52.0,retired
18.0,523.0,3.0,874951482.0,M,1.0,25.0,other
113.0,48.0,4.0,8868320.0,M,1.0,28.0,marketing
281.0,724.0,3.0,891449380.0,M,1.0,23.0,writer
453.0,910.0,5.0,888068791.0,M,1.0,18.0,student
585.0,903.0,3.0,879446108.0,F,0.0,36.0,administrator
456.0,515.0,4.0,879531351.0,M,1.0,42.0,administrator
858.0,9.0,4.0,879453951.0,M,1.0,30.0,student
789.0,716.0,3.0,875985976.0,M,1.0,26.0,technician
614.0,693.0,5.0,879454521.0,M,1.0,32.0,librarian
901.0,988.0,3.0,877105841.0,M,1.0,35.0,executive
361.0,498.0,4.0,879465376.0,M,1.0,45.0,other
492.0,638.0,5.0,880870710.0,M,1.0,22.0,engineer
380.0,1013.0,4.0,884121084.0,F,0.0,33.0,writer
717.0,838.0,4.0,882607426.0,M,1.0,26.0,technician
221.0,708.0,2.0,880952222.0,F,0.0,28.0,student
689.0,1060.0,3.0,881177889.0,F,0.0,32.0,salesman
858.0,849.0,3.0,880583480.0,M,1.0,27.0,administrator
666.0,488.0,4.0,880606397.0,M,1.0,39.0,administrator
495.0,557.0,4.0,879787599.0,M,1.0,42.0,other
316.0,818.0,4.0,884326584.0,F,0.0,42.0,healthcare
243.0,689.0,4.0,880585418.0,F,0.0,27.0,librarian
354.0,663.0,1.0,891388286.0,F,0.0,29.0,librarian
750.0,142.0,3.0,879548996.0,M,1.0,52.0,educator
43.0,122.0,3.0,891204385.0,M,1.0,29.0,librarian
316.0,686.0,4.0,882384950.0,M,1.0,56.0,retired
297.0,557.0,3.0,880314194.0,M,1.0,23.0,programmer
756.0,628.0,5.0,876032072.0,M,1.0,26.0,student
196.0,678.0,5.0,891409892.0,F,0.0,43.0,writer
677.0,464.0,5.0,892686220.0,F,0.0,21.0,student
844.0,615.0,4.0,891036821.0,M,1.0,32.0,librarian
267.0,1068.0,3.0,875309327.0,F,0.0,31.0,librarian
397.0,7.0,4.0,882158328.0,M,1.0,39.0,engineer
456.0,469.0,4.0,879563474.0,M,1.0,42.0,administrator
559.0,663.0,3.0,891961496.0,M,1.0,59.0,programmer
611.0,459.0,2.0,886988374.0,F,0.0,17.0,student
643.0,663.0,4.0,879444033.0,M,1.0,35.0,scientist
585.0,300.0,3.0,885810428.0,F,0.0,11.0,student
772.0,507.0,4.0,888629836.0,M,1.0,20.0,student
880.0,7.0,3.0,876536043.0,M,1.0,35.0,marketing
564.0,591.0,5.0,886322412.0,M,1.0,23.0,engineer
883.0,604.0,4.0,879875347.0,M,1.0,42.0,administrator
522.0,1215.0,4.0,884636453.0,M,1.0,49.0,educator
628.0,552.0,2.0,879443265.0,M,1.0,28.0,student
340.0,636.0,3.0,876405095.0,M,1.0,38.0,engineer
659.0,300.0,4.0,884636453.0,M,1.0,25.0,student
659.0,496.0,3.0,885953825.0,M,1.0,25.0,student
323.0,462.0,3.0,880603218.0,M,1.0,21.0,technician
569.0,557.0,4.0,875937602.0,M,1.0,18.0,student
472.0,1046.0,4.0,885690713.0,M,1.0,20.0,student
1.0,705.0,3.0,878542420.0,M,1.0,23.0,technician
1.0,552.0,3.0,885690552.0,M,1.0,23.0,technician
270.0,187.0,3.0,875335165.0,M,1.0,35.0,engineer
852.0,117.0,2.0,888468909.0,M,1.0,50.0,executive
101.0,709.0,3.0,888468909.0,M,1.0,35.0,student
487.0,1254.0,4.0,891036604.0,M,1.0,42.0,educator
221.0,557.0,3.0,880756502.0,M,1.0,18.0,student
756.0,583.0,4.0,881977735.0,F,0.0,26.0,student
522.0,9.0,5.0,884636270.0,M,1.0,48.0,educator
296.0,508.0,3.0,888069138.0,M,1.0,18.0,student
43.0,636.0,3.0,875730482.0,M,1.0,26.0,programmer
619.0,546.0,5.0,876033987.0,M,1.0,17.0,student
46.0,559.0,3.0,880165937.0,M,1.0,43.0,educator
316.0,9.0,5.0,881672408.0,M,1.0,35.0,educator
296.0,1099.0,4.0,879468250.0,M,1.0,18.0,student
456.0,679.0,1.0,879461442.0,M,1.0,42.0,administrator
537.0,785.0,4.0,886030800.0,M,1.0,35.0,engineer
890.0,663.0,4.0,88660906842.0,M,1.0,33.0,other
785.0,113.0,3.0,878961566.0,M,1.0,45.0,administrator
18.0,45.0,4.0,876033850.0,M,1.0,25.0,writer
43.0,117.0,4.0,883442431.0,M,1.0,16.0,none
590.0,595.0,4.0,879554751.0,M,1.0,18.0,student
574.0,8.0,2.0,891369403.0,M,1.0,29.0,librarian
145.0,493.0,2.0,884125022.0,M,1.0,29.0,entertainment
273.0,546.0,4.0,888451030.0,M,1.0,31.0,programmer
296.0,844.0,3.0,879786985.0,M,1.0,18.0,student
127.0,684.0,5.0,891035604.0,M,1.0,32.0,lawyer
82335.0,631.0,4.0,883304657.0,M,1.0,46.0,technician
886.0,4.0,4.0,875985617.0,M,1.0,32.0,technician
